KO.PLT_PBMC_Vehicle_REP1	KO.PLT_PBMC_Vehicle_REP2	KO.PLT_PBMC_Vehicle_REP3	KO.PLT_PBMC_Vehicle_REP4	WT.PLT_PBMC_Vehicle_REP1	WT.PLT_PBMC_Vehicle_REP2	WT.PLT_PBMC_Vehicle_REP3	WT.PLT_PBMC_Vehicle_REP4
Gnai3	10595	4066	843	3323	4052	4318	3856	8985
Cdc45	145	57	4	15	55	34	65	72
Narf	2970	887	234	873.999	932	908	953	2293
Cav2	747	277.999	71	296	387	417	380	649
Klf6	17025.999	6731.999	1453.999	5034	7250	7342.999	6587	13967
Scmh1	185	74	18	55	77	113	144	401
Cox5a	5478.192	1833.832	376.447	1355.942	2303.912	2594.09	2443.123	4422.25
Fer	132	53	17	3	26	67	58	172
Xpo6	2626.999	1264.999	267	1585	593.999	649	654.999	1465.999
Tfe3	7879.999	3068.001	552.001	3392.999	1568	3434	2676.001	5807.001
Brat1	1682	555.999	124	680.001	350.001	903	806.002	1344
Gna12	192	51.561	35.103	103	88.642	122.11	122	265.003
Dlat	3555.999	1125	223	1229	796	1252	1269.999	2980
Sdhd	4368	1621	335	1336	1633	2073	1884	3298
Ccnd2	754.92	310	56	286	309	312.363	249.999	398.912
Gpr107	4594.615	2234.024	348.332	2262.553	1384.071	1840.999	1468.676	3411.071
Tspan32	1414.999	709.001	132	694.999	605	554.001	531.001	1113
Trim25	2017	712	154	647	404	876	805	1649
Dgke	169.44	43	16	102	104.935	70	144	167.001
Scpep1	12274	5078.999	899	4292.982	4370.964	4640.997	4200	10179.933
Mnt	990	396	68	542	88	481	334	751
Itgb2	99925	31298.999	6907	26923.999	28894.999	44315.972	39783.99	76856.987
Hddc2	124.002	31	14	79.999	65	80	80	110
Clec10a	628.976	306.922	52.965	222.001	268.972	274.906	253.889	715.51
Comt	1231.184	342.094	64	359.717	398.467	644.594	527.463	1018.822
Rtca	791.999	270	39	192	118	396	330.001	439
Dbt	294	98.001	16	190	163	178	147	281
Dazap2	103898.556	52012.484	8816.678	41854.659	46033.513	31356.31	31211.697	73701.952
Mcts1	1215	338	86	327	540	501.999	517.001	888
Trappc10	460	197	32	279	76.999	244	212	464
Ccm2	5713.001	2448	525.001	2821	1966	1673.999	1824.001	3616.999
Tbrg4	1762.998	443	136.001	466	525.035	667.008	639	1492.001
Ndufa9	2782	1133.999	218	864	1187.999	1281.35	1113.978	2379
Lck	297	137	12	45	34	49	84	85
Galnt1	1686.001	693.999	119	572.999	861.001	455.999	463.015	1063.961
Mkrn2	1670.093	712.865	115.035	562.948	327.82	683.838	501.756	1258.729
Pparg	1758	725.001	124	395	611	608	741	1487
Raf1	28389.91	9796.174	2099.634	9320.608	7245.188	10783.799	10040.384	20347.282
Septin1	215	114.999	10	66	80	72	76	101.832
Pdgfb	218	124	22	96	102	134	112	186
Acvrl1	816	174	33	183	198	365	355	585
Tamalin	267	93	25	69	16	79	79	171
Acvr1b	2219	866	144	1121	328	797	915	1721
Tom1l2	466	420.689	54	268.001	170	252.398	207.001	565.498
Zfp385a	1053	322	71	305	119	453	377	676.001
Itga5	17726.999	8587.999	1416	7760	3937	6504.001	6257.001	13337.001
Wdr77	2315.514	1263.651	213.979	871.328	910.527	920.503	847.315	2366.052
Adora3	92	38	4	2	30	55	41	29
Atp5pb	8821.415	4042.016	715.904	3197.572	3134.259	3579.282	3276.013	7040.879
Hnrnpd	758.748	365.138	70.001	363.988	560.02	342.616	359.503	775.456
Dynlt1c	683.646	309.264	85.873	332.75	220.912	309.925	300.319	588.143
C1d	3742	1538.999	316	1154	1633	1380	1338.001	2928
Krit1	5463	3491.999	532.999	3070.001	2932.001	1814	1809.999	4513.748
Clcn4	6847.326	3244.116	626.706	3204.185	2784.781	2560.123	2463.601	5974.466
Hk2	2852.253	1562	258	1332.705	1148.349	1442.062	1119.159	2322.446
Myo18a	1351	437.999	127	536.999	220.001	743.001	572.999	880.932
Haao	509	162	45	266	163.001	387	284	420
Cd52	17736	5737	1292	3037	6268.999	9672	7328.999	11287.999
Abhd15	2042.559	821.741	133.875	734.308	457.319	573.098	558.862	1313.311
Loxl3	414.554	84.224	31.711	110.955	75.5	160.054	132.626	345.053
Kat2b	243.988	152.993	38	100	165.904	92	79.986	223.877
Rab5b	9092.936	3826.039	545.896	3023.746	1570	3829.793	3023.909	5947.515
Dnmt3l	663	257	65	130.999	165.999	236	248	487.001
Icosl	1364	440	76.999	522	352	621	519	915.001
Spg7	887.999	402	64	405.999	211	256	183	475
Rpl13	8073.963	2443.028	569.377	1890.107	3177.228	4942.778	4175.807	6680.237
Chmp1a	9046.213	4262.955	714.952	4171.975	2432.855	3207.93	3043.999	6649.875
Rpa1	3748.999	1319	269.999	1086.001	1209	1613	1439	3171.001
Tubgcp3	1497.001	683.001	112	761	427	624.999	568.001	1504
Polr3d	690	256	81	312.999	248.001	355.999	272	836.001
Ddx3x	2558	917	203	958	1274.999	951	956.999	2317.695
Il12rb1	307	89	7	58.001	23	126.999	54.999	148
Usp32	364	280	40	329.001	193.999	185	218	328
Txnrd3	293	41	9	76	53	110	79	75
Zfp512b	611	334.135	52	364.712	233.507	177	133.566	314.999
Dnajc5	4808	1449.999	299.999	1716.999	1342	1953	1675.001	3066
Tpd52l2	2941.878	1698.538	287.653	1494.407	1187.869	1383.498	1518.813	2716.999
Fmr1	1435.365	549.479	117.407	474.174	484.321	539.59	703.26	1196.096
Bcl11a	77	66	7	55	54.001	61	41.999	93.999
Pxmp4	408.911	133	38	149	100	157	136	273.925
Gnb1l	258.731	84	14	112	40	93	95	212.742
Smarcb1	3828.08	1946.165	346.001	1809	1155.134	1560.435	1352	2942.171
Hip1r	156.455	130.01	17.24	68.216	34.288	114.197	88.928	147.553
Nsun5	798.243	374.816	65.425	451.362	484.613	538.913	425.724	819.738
Top1mt	50	42	12	32	48	45	68	74
Mmp14	10463.001	4855	803	4492.001	2793	3914.999	3608.999	8176.999
Slc7a7	1629.848	562.666	118.836	545.857	734.025	817.685	729.957	1721.634
Oxa1l	986.152	527.335	88.164	390.142	353.974	487.315	335.043	774.365
Heatr6	2211.001	815	136	766	881	836	754	1338
Ccl3	622	239	38	171	167	169	219	391
Ilf2	2569.432	766.788	219.736	749.95	792.052	1094.725	1003.904	2336.542
Chtop	4348.996	1936.972	279	1636.002	1537.926	1665.991	1381.941	3048.961
Snapin	5719.941	2020.214	388.265	1739.055	2007.947	1886.075	2008.096	4415.536
S100a4	541	244	27	158	215	317	233	381
S100a6	8365	3235	631	1710	3425.999	4517.001	3525	6739
Icam2	470.001	178	43	143.001	180	265	216	355.999
